Texto fonte - inglês,Tradução - português,Subprojecto
Choose Video,Escolher vídeo,dev
A homepage section [Theme starter content],Uma secção da página inicial,dev
Blog [Theme starter content],Blog,dev
Contact [Theme starter content],Contacto,dev
About [Theme starter content],Sobre,dev
Home [Theme starter content],Início,dev
Email [Theme starter content],Email,dev
Instagram [Theme starter content],Instagram,dev
Twitter [Theme starter content],Twitter,dev
Facebook [Theme starter content],Facebook,dev
Yelp [Theme starter content],Yelp,dev
Categories [Theme starter content],Categorias,dev
Search [Theme starter content],Procurar,dev
Saturday &amp; Sunday: 11:00AM&ndash;3:00PM [Theme starter content],Sábado e domingo: 11:00&ndash;15:00,dev
Monday&mdash;Friday: 9:00AM&ndash;5:00PM [Theme starter content],Segunda - sexta: 9:00&ndash;17:00,dev
Hours [Theme starter content],Horas,dev
"New York, NY 10001 [Theme starter content]",1001 Lisboa,dev
123 Main Street [Theme starter content],"Rua das Avenidas, 123",dev
Address [Theme starter content],Endereço,dev
Find Us [Theme starter content],Encontre-nos,dev
"Passwords cannot contain the ""\"" character.","As senhas não podem conter o caractere ""\"".",dev
Passwords cannot be empty.,As senhas não podem ser vazias.,dev
Username contains invalid characters.,O nome de utilizador contém caracteres inválidos.,dev
Invalid user parameter(s).,Parâmetro(s) de utilizador inválido(s),dev
Show Controls [label for hide controls button without length constraints],Mostrar controlos,dev
Hide Controls [label for hide controls button without length constraints],Esconder controlos,dev
Document Preview,Pré-visualizar documento,dev
Header Media,Multimédia do cabeçalho,dev
REST base route for the taxonomy.,Base da rota REST para a taxonomia.,dev
+ %s,+ %s,dev
Site Default [default site language],Por omissão,dev
"HTML description for the object, transformed for display.","Descrição HTML para o objecto, transformado para exibição.",dev
"Description for the object, as it exists in the database.","Descrição do objecto, tal como existe na base de dados.",dev
"HTML caption for the attachment, transformed for display.","Legenda HTML para o anexo, transformado para exibição.",dev
"Caption for the attachment, as it exists in the database.","Legenda para o anexo, tal como existe na base de dados.",dev
"CSS allows you to customize the appearance and layout of your site with code. Separate CSS is saved for each of your themes. In the editing area the Tab key enters a tab character. To move below this area by pressing Tab, press the Esc key followed by the Tab key.","O código CSS permite-lhe personalizar a apresentação e layout do seu site. O CSS será guardado separadamente para cada um dos seus temas. Na área de edição, a tecla Tab insere um caractere de tabulação. Para mover para baixo desta área através da tecla Tab, use primeiro a tecla Esc e só depois Tab.",dev
Please enter a valid YouTube URL.,Por favor insira um URL do YouTube válido.,dev
Expand Main menu,Expandir menu principal,dev
Collapse Main menu,Minimizar menu principal,dev
Users do not support trashing. Set force=true to delete.,Utilizadores sem suporte para mover para o lixo. Definir force=true para eliminar.,dev
Terms do not support trashing. Set force=true to delete.,Termos sem suporte para mover para o lixo. Definir force=true para eliminar.,dev
Revisions do not support trashing. Set force=true to delete.,Revisões sem suporte para mover para o lixo. Definir force=true para eliminar.,dev
The post does not support trashing. Set force=true to delete.,Conteúdo sem suporte para mover para o lixo. Definir force=true para eliminar.,dev
The comment does not support trashing. Set force=true to delete.,Comentário sem suporte para mover para o lixo. Definir force=true para eliminar.,dev
"Or, enter a YouTube URL:",Ou insira um URL do YouTube:,dev
Invalid JSON body passed.,O conteúdo do JSON enviado é inválido.,dev
Limit result set to all items except those that have the specified term assigned in the %s taxonomy.,"Limita conjunto de resultados a todos os itens, com excepção dos que têm o termo indicado, atribuído na taxonomia %s.",dev
Limit result set to posts assigned one or more statuses.,Limita conjunto de resultados a conteúdos com um ou mais estados atribuídos.,dev
Comment field exceeds maximum length allowed.,O campo do comentário excede o comprimento máximo permitido.,dev
Taxonomies associated with post type.,Taxonomias associadas ao tipo de conteúdo.,dev
Display Location,Mostrar localização,dev
Limit result set to posts with one or more specific slugs.,Limita conjunto de resultados a conteúdos com um ou mais URL específicos.,dev
Comment is required.,Comentário obrigatório.,dev
Status is forbidden,O estado é proibido,dev
Empty title,Título vazio,dev
We already have a ping from that URL for this post.,Já existe um ping deste URL associado a este artigo.,dev
"Sorry, trackbacks are closed for this item.","Desculpe, os trackbacks estão fechados para este item.",dev
I really need an ID for this to work.,É necessário um ID para isto funcionar.,dev
Term removed.,Termo removido.,dev
Term added.,Termo adicionado.,dev
Term selected.,Termo seleccionado.,dev
Remove term:,Remover termo:,dev
Item selected.,Item seleccionado.,dev
%1$s must be between %2$d (inclusive) and %3$d (inclusive),%1$s tem que ser entre %2$d (incluindo) e %3$d (incluindo),dev
%1$s must be between %2$d (exclusive) and %3$d (inclusive),%1$s tem que ser entre %2$d (não incluindo) e %3$d (incluindo) ,dev
%1$s must be between %2$d (inclusive) and %3$d (exclusive),%1$s tem que ser entre %2$d (incluindo) e %3$d (não incluindo) ,dev
%1$s must be between %2$d (exclusive) and %3$d (exclusive),%1$s tem que ser entre %2$d (não incluindo) e %3$d (não incluindo) ,dev
%s is not a valid IP address.,%s não é um endereço de IP válido.,dev
%1$s is not of type %2$s.,%1$s não é do tipo %2$s.,dev
%1$s is not one of %2$s.,%1$s não é um de %2$s.,dev
Meta fields.,Campos de metadados.,dev
Could not update meta value in database.,Não foi possível actualizar o valor dos metadados na base de dados.,dev
Could not delete meta value from database.,Não foi possível eliminar o valor de metadados da base de dados. ,dev
Limit result set to users matching at least one specific role provided. Accepts csv list or single role.,Limita conjunto de resultados a utilizadores que correspondam pelo menos a um papel indicado. É possível lista csv ou apenas um papel.,dev
Any extra capabilities assigned to the user.,Quaisquer capacidades extra atribuídas ao utilizador.,dev
All capabilities assigned to the user.,Todas as capacidades atribuídas a este utilizador.,dev
Password for the user (never included).,Senha do utilizador (nunca incluída).,dev
Registration date for the user.,Data de registo do utilizador.,dev
The email address for the user.,O endereço de email do utilizador.,dev
The role %s does not exist.,O papel %s não existe.,dev
Invalid user ID for reassignment.,O ID de utilizador a reatribuir é inválido.,dev
"Sorry, you are not allowed to delete this user.","Desculpe, não tem permissão para eliminar este utilizador.",dev
Username isn't editable.,O nome de utilizador não é editável.,dev
"Sorry, you are not allowed to edit roles of this user.","Desculpe, não tem permissão para editar papéis deste utilizador.",dev
Cannot create existing user.,Não é possível criar utilizador existente.,dev
You are not currently logged in.,Não tem sessão iniciada.,dev
Limit result set to terms assigned to a specific post.,Limita conjunto de resultados a termos atribuídos a um conteúdo específico.,dev
Limit result set to terms assigned to a specific parent.,Limita conjunto de resultados a termos com um superior específico atribuído.,dev
Whether to hide terms not assigned to any posts.,Se deverão ocultar-se os termos não atribuídos a quaisquer conteúdos.,dev
Sort collection by term attribute.,Ordenar colecção por atributo do termo.,dev
Type attribution for the term.,Atribuição de tipo do termo.,dev
An alphanumeric identifier for the term unique to its type.,"Um identificador alfanumérico para o termo, único para seu tipo.",dev
HTML description of the term.,A descrição HTML do termo.,dev
Number of published posts for the term.,Número de conteúdos publicados com este termo.,dev
Unique identifier for the user.,Identificador único do utilizador.,dev
"Required to be true, as users do not support trashing.","É obrigatório ser verdadeiro, uma vez que os utilizadores não podem ser movidos para o lixo.",dev
Limit results to taxonomies associated with a specific post type.,Limita resultados a taxonomias associadas a um tipo de conteúdo específico.,dev
Whether or not the term cloud should be displayed.,Se a nuvem de termos deverá ser mostrada.,dev
"The %s property has an invalid stored value, and cannot be updated to null.","A propriedade %s tem armazenado um valor inválido, e não pode ser actualizada para valor nulo.",dev
Invalid revision ID.,O ID da revisão é inválido.,dev
Status is forbidden.,O estado é proibido.,dev
Limit result set to items that are sticky.,Limita conjunto de resultados a itens fixos.,dev
Limit result set to all items that have the specified term assigned in the %s taxonomy.,"Limita conjunto de resultados a todos os itens que têm o termo indicado, atribuído na taxonomia %s.",dev
Limit result set to all items except those of a particular parent ID.,"Limita conjunto de resultados a todos os itens, com excepção dos que têm um superior com um ID específico.",dev
Limit result set to items with particular parent IDs.,Limitar resultados para itens com ID ascendentes específicos.,dev
Offset the result set by a specific number of items.,Faz saltar o conjunto de resultados um número específico de itens.,dev
Limit result set to posts with a specific menu_order value.,Limita conjunto de resultados a conteúdos com um valor menu_order específico.,dev
